order_id,customer_id,order_date,order_status,order_value,delivery_date,delivery_time_days
1,169,2024-05-19,Delivered,9676.89,2024-05-21,2
2,1478,2024-02-24,Delivered,2013.52,2024-02-26,2
3,385,2023-05-04,Cancelled,6385.82,2023-05-06,2
4,937,2023-07-15,Delivered,3836.96,2023-07-21,6
5,425,2023-02-17,Cancelled,5769.53,2023-02-22,5
6,1206,2023-05-07,Delivered,7013.33,2023-05-11,4
7,1349,2024-08-26,Returned,546.16,2024-08-31,5
8,511,2023-01-05,Delivered,7541.24,2023-01-10,5
9,444,2024-08-22,Delivered,8854.67,2024-08-27,5
10,1887,2023-07-01,Delivered,6867.98,2023-07-06,5
11,132,2023-04-17,Delivered,1539.15,2023-04-20,3
12,1808,2023-11-26,Delivered,3746.82,2023-12-01,5
13,1248,2024-12-10,Delivered,367.87,2024-12-15,5
14,1974,2023-12-18,Returned,4413.37,2023-12-24,6
15,274,2023-05-22,Delivered,6884.41,2023-05-25,3
16,1533,2024-06-08,Delivered,2370.68,2024-06-11,3
17,1763,2023-11-18,Delivered,5538.1,2023-11-24,6
18,1296,2023-08-11,Delivered,6253.14,2023-08-15,4
19,596,2024-12-04,Delivered,8026.62,2024-12-06,2
20,1455,2024-10-27,Returned,2143.83,2024-10-29,2
21,556,2024-12-11,Delivered,3326.78,2024-12-14,3
22,1559,2023-12-27,Delivered,8449.13,2024-01-01,5
23,1931,2024-11-14,Delivered,7307.57,2024-11-20,6
24,1831,2024-06-30,Delivered,7197.860000000001,2024-07-04,4
25,1656,2023-01-14,Delivered,4449.18,2023-01-17,3
26,149,2023-02-24,Delivered,1934.36,2023-03-01,5
27,165,2023-10-21,Delivered,15372.96,2023-10-26,5
28,64,2024-12-08,Delivered,287.65,2024-12-13,5
29,1109,2023-02-03,Delivered,4634.24,2023-02-08,5
30,1262,2024-11-22,Delivered,3719.76,2024-11-28,6
31,1521,2024-10-24,Delivered,8412.5,2024-10-28,4
32,1607,2024-12-13,Delivered,3121.47,2024-12-16,3
33,1898,2024-01-26,Delivered,2914.92,2024-01-30,4
34,1999,2024-12-02,Delivered,7629.68,2024-12-06,4
35,27,2023-09-15,Delivered,7900.71,2023-09-21,6
36,1763,2024-03-29,Delivered,2655.41,2024-03-31,2
37,1444,2024-12-27,Delivered,3101.0,2024-12-29,2
38,1120,2024-09-09,Delivered,7299.9,2024-09-13,4
39,397,2023-10-29,Delivered,3697.09,2023-11-01,3
40,153,2023-07-11,Returned,392.49,2023-07-15,4
41,245,2024-01-22,Delivered,5613.46,2024-01-28,6
42,542,2023-05-14,Delivered,4292.43,2023-05-18,4
43,12,2023-12-05,Delivered,2807.31,2023-12-09,4
44,82,2023-06-07,Cancelled,9269.71,2023-06-10,3
45,1585,2024-10-02,Delivered,5956.17,2024-10-04,2
46,1005,2024-08-09,Delivered,4765.51,2024-08-12,3
47,326,2024-06-22,Delivered,10455.39,2024-06-27,5
48,70,2024-06-01,Delivered,883.02,2024-06-04,3
49,827,2023-04-05,Delivered,11603.84,2023-04-08,3
50,1359,2023-12-06,Delivered,1008.77,2023-12-09,3
51,1947,2024-09-25,Delivered,1570.29,2024-09-29,4
52,1687,2024-10-26,Delivered,2725.35,2024-10-29,3
53,913,2023-09-04,Cancelled,2230.11,2023-09-07,3
54,1273,2023-09-07,Returned,4615.85,2023-09-12,5
55,658,2024-01-26,Cancelled,602.06,2024-02-01,6
56,791,2023-09-20,Delivered,8013.019999999999,2023-09-23,3
57,1867,2024-06-13,Delivered,6243.09,2024-06-17,4
58,1645,2024-06-04,Delivered,4488.61,2024-06-07,3
59,198,2023-11-25,Delivered,5144.09,2023-12-01,6
60,343,2024-07-04,Delivered,6400.05,2024-07-08,4
61,432,2024-11-17,Delivered,8403.3,2024-11-22,5
62,1404,2024-03-10,Delivered,6664.15,2024-03-15,5
63,1698,2024-12-20,Cancelled,6900.27,2024-12-22,2
64,892,2024-10-24,Delivered,8050.44,2024-10-29,5
65,158,2023-01-25,Delivered,830.02,2023-01-27,2
66,180,2023-03-17,Delivered,602.07,2023-03-22,5
67,1143,2023-03-14,Delivered,5465.9800000000005,2023-03-19,5
