order_id,product_id,quantity,selling_price,discount_percent,total_price
1,45,3,470.14,15.59,1410.42
1,89,3,1120.57,9.27,3361.71
1,84,3,1321.15,15.26,3963.45
1,72,1,941.31,21.49,941.31
2,66,2,1006.76,26.24,2013.52
3,34,2,949.36,19.82,1898.72
3,115,3,380.25,12.18,1140.75
3,11,3,1115.45,13.86,3346.35
4,90,2,975.5,19.71,1951.0
4,100,3,381.52,13.88,1144.56
4,92,1,741.4,13.39,741.4
5,90,2,915.88,24.62,1831.76
5,120,1,855.54,11.34,855.54
5,26,3,397.61,8.17,1192.83
5,43,3,629.8,21.86,1889.4
6,41,2,648.03,10.49,1296.06
6,39,3,1696.39,5.55,5089.17
6,92,1,628.1,26.62,628.1
7,110,2,273.08,12.19,546.16
8,114,3,701.61,25.68,2104.83
8,11,3,1014.05,21.7,3042.15
8,46,3,566.77,28.71,1700.31
8,56,1,693.95,22.98,693.95
9,49,2,1439.89,17.81,2879.78
9,113,3,857.79,26.56,2573.37
9,62,3,405.3,25.08,1215.9
9,37,2,1092.81,20.52,2185.62
10,109,3,800.52,10.86,2401.56
10,31,2,752.47,6.41,1504.94
10,42,3,987.16,13.03,2961.48
11,2,3,513.05,12.3,1539.15
12,78,1,1224.72,9.75,1224.72
12,45,3,392.73,29.49,1178.19
12,61,1,1343.91,12.05,1343.91
13,102,1,367.87,10.28,367.87
14,36,2,284.39,25.55,568.78
14,73,3,903.36,13.3,2710.08
14,76,1,1134.51,28.56,1134.51
15,70,2,1218.53,27.85,2437.06
15,20,2,637.17,21.92,1274.34
15,87,3,1057.67,27.31,3173.01
16,65,2,1185.34,15.87,2370.68
17,46,3,576.01,27.55,1728.03
17,6,1,218.65,10.39,218.65
17,40,1,1455.66,13.4,1455.66
17,92,2,599.53,29.96,1199.06
17,7,2,468.35,14.22,936.7
18,22,2,695.64,7.49,1391.28
18,91,1,260.92,26.08,260.92
18,29,3,1043.42,17.91,3130.26
18,46,2,735.34,7.5,1470.68
19,22,3,606.03,19.41,1818.09
19,49,3,1515.14,13.52,4545.42
19,50,3,169.58,22.56,508.74
19,108,1,1154.37,25.04,1154.37
20,59,1,720.73,27.13,720.73
20,94,1,555.36,15.34,555.36
20,110,1,275.46,11.43,275.46
20,46,1,592.28,25.5,592.28
21,48,1,1286.43,24.86,1286.43
21,115,2,338.56,21.81,677.12
21,45,3,454.41,18.42,1363.23
22,34,2,1030.03,13.0,2060.06
22,47,2,1286.36,18.89,2572.72
22,29,1,1176.69,7.42,1176.69
22,8,2,1319.83,20.3,2639.66
23,70,1,1318.55,21.93,1318.55
23,19,1,1389.71,13.36,1389.71
23,24,3,320.8,22.51,962.4
23,97,3,939.96,15.24,2819.88
23,111,1,817.03,27.7,817.03
24,90,1,1127.66,7.19,1127.66
24,33,3,535.87,14.26,1607.61
24,59,3,847.51,14.31,2542.53
24,78,2,960.03,29.25,1920.06
25,47,3,1483.06,6.49,4449.18
26,60,2,967.18,17.97,1934.36
27,66,3,1089.62,20.17,3268.86
27,105,3,1357.73,5.52,4073.19
27,79,3,1399.35,10.93,4198.05
27,51,1,1196.91,23.18,1196.91
27,16,3,878.65,10.16,2635.95
28,91,1,287.65,18.51,287.65
29,57,2,909.85,10.8,1819.7
29,57,3,813.46,20.25,2440.38
29,115,1,374.16,13.59,374.16
30,61,2,1152.89,24.55,2305.78
30,46,2,706.99,11.07,1413.98
31,68,2,1577.41,12.12,3154.82
31,93,2,600.96,21.85,1201.92
31,107,2,1094.45,11.81,2188.9
31,42,2,933.43,17.76,1866.86
32,29,3,1040.49,18.14,3121.47
33,53,3,971.64,11.35,2914.92
34,45,3,414.39,25.6,1243.17
34,88,3,1146.85,24.4,3440.55
34,75,2,652.81,22.56,1305.62
34,56,2,820.17,8.97,1640.34
35,19,1,1423.21,11.27,1423.21
35,104,2,149.17,25.41,298.34
35,78,3,979.81,27.8,2939.43
35,89,3,1079.91,12.56,3239.73
36,62,3,467.46,13.59,1402.38
36,86,1,1253.03,6.7,1253.03
37,74,2,244.78,25.6,489.56
37,74,3,257.75,21.66,773.25
37,42,1,879.09,22.55,879.09
37,42,1,959.1,15.5,959.1
38,114,3,675.82,28.41,2027.46
38,47,2,1442.01,9.08,2884.02
38,11,2,1194.21,7.78,2388.42
39,80,1,1199.48,5.03,1199.48
39,45,1,480.68,13.7,480.68
39,75,3,672.31,20.25,2016.93
40,15,1,392.49,10.19,392.49
41,29,2,1105.4,13.03,2210.8
41,25,2,1120.35,23.53,2240.7
41,5,3,387.32,17.24,1161.96
42,84,3,1430.81,8.22,4292.43
43,11,3,935.77,27.74,2807.31
44,70,1,1505.38,10.87,1505.38
44,1,3,1104.85,8.16,3314.55
44,40,3,1483.26,11.76,4449.78
45,53,2,932.79,14.89,1865.58
45,40,2,1567.96,6.72,3135.92
45,3,1,954.67,6.95,954.67
46,73,3,880.68,15.48,2642.04
46,64,2,419.82,20.19,839.64
46,79,1,1283.83,18.28,1283.83
47,112,3,1399.33,20.99,4197.99
47,78,3,1150.98,15.18,3452.94
47,79,2,1402.23,10.74,2804.46
48,110,3,294.34,5.36,883.02
49,78,3,1156.5,14.78,3469.5
49,49,2,1633.94,6.74,3267.88
49,77,3,1331.3,22.69,3993.9
49,2,2,436.28,25.42,872.56
50,12,1,1008.77,28.76,1008.77
51,102,3,309.23,24.58,927.69
51,83,1,642.6,9.37,642.6
52,91,3,281.61,20.22,844.83
52,41,2,542.1,25.12,1084.2
52,59,1,796.32,19.48,796.32
53,95,3,743.37,23.76,2230.11
54,50,2,157.45,28.11,314.9
54,15,3,358.56,17.95,1075.68
54,25,3,1075.09,26.61,3225.27
55,41,1,602.06,16.84,602.06
56,39,3,1285.54,28.42,3856.62
56,116,2,1221.07,21.17,2442.14
56,120,2,857.13,11.18,1714.26
57,55,2,337.98,13.34,675.96
57,92,3,671.1,21.6,2013.3
57,23,1,1208.47,26.09,1208.47
57,86,2,1172.68,12.68,2345.36
58,74,2,287.12,12.73,574.24
58,13,3,1304.79,16.09,3914.37
59,30,2,855.94,8.26,1711.88
59,61,3,1144.07,25.13,3432.21
60,22,3,670.74,10.81,2012.22
60,23,3,1462.61,10.54,4387.83
61,27,1,1038.7,14.79,1038.7
61,47,2,1426.36,10.07,2852.72
61,19,3,1503.96,6.24,4511.88
62,31,2,668.76,16.82,1337.52
62,47,3,1151.38,27.4,3454.14
62,24,2,382.31,7.66,764.62
62,102,3,369.29,9.93,1107.87
63,80,1,978.93,22.49,978.93
63,115,3,347.54,19.74,1042.62
63,107,3,964.82,22.25,2894.46
63,1,2,992.13,17.53,1984.26
64,2,2,508.35,13.1,1016.7
64,82,3,769.38,29.15,2308.14
64,68,3,1324.21,26.23,3972.63
64,59,1,752.97,23.87,752.97
65,15,2,415.01,5.03,830.02
66,41,1,602.07,16.84,602.07
67,57,3,794.6,22.1,2383.8
67,60,2,916.82,22.24,1833.64
67,103,3,242.3,11.25,726.9
67,104,3,173.88,13.06,521.64
68,60,2,1017.04,13.74,2034.08
69,60,3,857.39,27.28,2572.17
69,49,3,1622.56,7.39,4867.68
70,71,2,383.7,17.84,767.4
70,20,2,735.16,9.91,1470.32
70,65,2,1075.64,23.66,2151.28
70,115,1,311.69,28.02,311.69
71,50,3,182.39,16.72,547.17
71,15,2,365.77,16.3,731.54
71,69,2,205.71,20.58,411.42
71,32,2,1185.11,10.35,2370.22
72,43,1,717.9,10.93,717.9
72,99,1,1139.49,6.6,1139.49
72,113,2,905.3,22.49,1810.6
72,75,3,683.4,18.93,2050.2
73,34,1,1117.12,5.65,1117.12
73,63,3,1524.52,6.18,4573.56
73,19,1,1481.36,7.65,1481.36
73,107,3,917.17,26.09,2751.51
74,120,1,897.42,7.0,897.42
74,5,3,386.33,17.45,1158.99
74,61,2,1422.9,6.88,2845.8
74,53,1,767.34,29.99,767.34
75,39,3,1387.49,22.75,4162.47
75,119,2,734.45,7.85,1468.9
75,21,2,309.05,23.88,618.1
75,65,1,1004.01,28.74,1004.01
76,12,1,1203.7,14.99,1203.7
77,81,1,1514.83,7.29,1514.83
77,15,1,333.49,23.69,333.49
77,104,1,177.58,11.21,177.58
77,51,3,1333.77,14.39,4001.31
78,106,1,1115.15,25.9,1115.15
78,44,3,231.76,23.26,695.28
78,38,1,414.96,17.83,414.96
78,48,2,1616.34,5.59,3232.68
78,30,3,741.19,20.56,2223.57
79,112,3,1496.76,15.48,4490.28
79,10,2,1267.97,16.08,2535.94
79,74,2,292.1,11.22,584.2
80,87,2,1159.95,20.28,2319.9
80,34,2,889.48,24.88,1778.96
81,14,2,199.44,16.9,398.88
81,83,3,585.98,17.35,1757.94
81,39,2,1563.88,12.92,3127.76
81,36,2,353.65,7.42,707.3
82,13,1,1133.78,27.09,1133.78
82,117,3,809.05,10.01,2427.15
82,31,2,670.38,16.62,1340.76
82,59,3,757.56,23.4,2272.68
83,106,2,1077.78,28.39,2155.56
83,100,3,337.03,23.92,1011.09
83,26,2,337.75,22.0,675.5
